City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
564,dossor,47.5272,52.9811,27.72,40,88,3.42,KZ,1717992522
565,richards bay,-28.783,32.0377,13.07,74,0,2.75,ZA,1717992522
566,bardsir,29.9227,56.5743,23.21,13,0,1.92,IR,1717992522
567,berezovyy,51.6667,135.7,10.28,98,100,2.37,RU,1717992523
568,soio,-6.1349,12.3689,21.93,91,53,2.53,AO,1717992523
569,sandanski,41.5667,23.2833,22.56,69,12,0.73,BG,1717992523
570,hrodna,53.6884,23.8258,13.03,79,43,1.73,BY,1717992523
571,yuzhno-kurilsk,44.0306,145.8556,11.32,93,100,4.87,RU,1717992523
572,beboto,8.2668,16.939,22.82,90,100,0.88,TD,1717992523
573,kyaikkami,16.08,97.5675,27.76,80,99,2.71,MM,1717992524
574,masterton,-40.9597,175.6575,14.38,78,91,4.07,NZ,1717992524
575,mermoz boabab,14.7065,-17.4758,23.31,83,17,4.29,SN,1717992524
576,pundong,-7.9522,110.3486,30.9,63,5,3.55,ID,1717992524
577,haimen,23.1935,116.6142,29.61,74,87,5.39,CN,1717992525
578,isoka,-10.1606,32.6335,12.88,95,95,2.11,ZM,1717992525
579,al burayqah,30.4062,19.5739,22.8,61,0,1.44,LY,1717992525
580,tilcara,-23.5776,-65.3509,7.86,15,3,5.1,AR,1717992525
581,alamos,27.0167,-108.9333,28.41,52,0,1.86,MX,1717992525
582,mili,6.0815,171.735,28.88,76,32,6.91,MH,1717992525
583,shimokizukuri,40.8061,140.3861,24.18,75,51,3.97,JP,1717992526
584,pacific grove,36.6177,-121.9166,15.77,87,100,4.12,US,1717992526
585,gleize,45.9908,4.7007,14.14,86,29,1.69,FR,1717992526
586,shar,49.5886,81.0453,28.83,42,89,3.56,KZ,1717992526
587,st. john's,47.5649,-52.7093,10.99,95,100,11.83,CA,1717992526
588,tralee,52.2704,-9.7026,9.62,93,99,2.9,IE,1717992526
589,luchegorsk,46.4764,134.2569,20.77,68,78,3.56,RU,1717992527
590,betafo,-19.8333,46.85,11.67,84,82,2.69,MG,1717992527
591,hobyo,5.3505,48.5268,26.44,75,83,10.33,SO,1717992527
592,khandyga,62.6667,135.6,18.58,40,92,2.16,RU,1717992527
593,callao,-12.0667,-77.15,18.73,77,100,3.09,PE,1717992519
